depth,intent,AS,CS,CAS,AU
0,AS,1.0,0.0,0.0,0.0
0,CS,0.0,1.0,0.0,0.0
0,CAS,0.0,0.0,1.0,0.0
0,AU,0.0,0.0,0.0,1.0
1,AS,0.8,0.2,0.0,0.0
1,CS,0.0,0.8,0.2,0.0
1,CAS,0.0,0.0,0.8,0.2
1,AU,0.0,0.0,0.0,1.0
2,AS,0.6400000000000001,0.32000000000000006,0.04000000000000001,0.0
2,CS,0.0,0.6400000000000001,0.32000000000000006,0.04000000000000001
2,CAS,0.0,0.0,0.6400000000000001,0.36000000000000004
2,AU,0.0,0.0,0.0,1.0
3,AS,0.5120000000000001,0.3840000000000001,0.09600000000000003,0.008000000000000002
3,CS,0.0,0.5120000000000001,0.3840000000000001,0.10400000000000002
3,CAS,0.0,0.0,0.5120000000000001,0.4880000000000001
3,AU,0.0,0.0,0.0,1.0
4,AS,0.4096000000000002,0.4096000000000002,0.15360000000000007,0.02720000000000001
4,CS,0.0,0.4096000000000002,0.4096000000000002,0.18080000000000004
4,CAS,0.0,0.0,0.4096000000000002,0.5904000000000001
4,AU,0.0,0.0,0.0,1.0
5,AS,0.3276800000000002,0.40960000000000024,0.2048000000000001,0.05792000000000002
5,CS,0.0,0.3276800000000002,0.40960000000000024,0.26272000000000006
5,CAS,0.0,0.0,0.3276800000000002,0.6723200000000001
5,AU,0.0,0.0,0.0,1.0
6,AS,0.26214400000000015,0.39321600000000023,0.24576000000000015,0.09888000000000005
6,CS,0.0,0.26214400000000015,0.39321600000000023,0.34464000000000017
6,CAS,0.0,0.0,0.26214400000000015,0.7378560000000003
6,AU,0.0,0.0,0.0,1.0
