depth,phi_star,harm,attributed
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.2735476593344613,0.15520000000000012,0.08730000000000007
3,0.46772808141264954,0.5673600000000005,0.23935500000000023
4,0.6012747456561621,1.2130124800000013,0.3838047300000004
5,0.6962766404070239,2.0174013440000027,0.47873879550000065
6,0.7660296486916335,2.8974135091200046,0.5156773555050008
7,0.8184783221510616,3.7823777631436863,0.5048864848629908
8,0.858587376989133,4.621231449604105,0.4626449514900594
9,0.8896140058618328,5.382365934390618,0.40413325762409413
10,0.913791761891158,6.050226164297329,0.34070950009879397
11,0.9327120427151977,6.621011937967081,0.27963933987022743
12,0.9475457591427484,7.098666721073738,0.22485986595834187
13,0.95917717191099,7.491634733815868,0.17798074429812305
14,0.9682876353241288,7.810480642371959,0.13916673804657595
15,0.9754098543232511,8.066281502972457,0.1077934383619316
16,0.9809643214617477,8.269632982710556,0.08288318844957723
17,0.9852847294024388,8.430105766117842,0.06336865671582625
18,0.9886363957074622,8.556009765045868,0.04823630278497651
19,0.9912301261857155,8.654354424129044,0.03659305609808566
20,0.9932329855099219,8.730923521696491,0.027687608909923538
21,0.9947768715242855,8.790408342322692,0.02090718591245902
22,0.9959654499806954,8.836562845347668,0.015762720146797724
23,0.9968798079309096,8.872358820799402,0.011869929936151337
24,0.9975830700313375,8.900128932508498,0.00893031173997909
25,0.9981241571350032,8.921692037364782,0.00671396097848164
26,0.9985408288645129,8.938459182245863,0.005044934237755502
27,0.9988621283537779,8.951520983283377,0.0037892298130856083
28,0.9991103307110933,8.961718268402423,0.0028451597864641953
29,0.9993024832439672,8.969698333540531,0.002135769968797555
30,0.9994516134250657,8.975959215494806,0.001602945557983868
31,0.9995676694025549,8.980884211827611,0.001202868805592295
32,0.9996582475102035,8.984768602205309,0.0009025418006301069
33,0.9997291518290163,8.987840218978038,0.0006771377639893588
34,0.9997848225151168,8.99027521857763,0.0005079909114012485
35,0.9998286624003743,8.99221013973904,0.0003810751823502259
36,0.9998632852834908,8.993751107465425,0.00028585536453466895
37,0.9998907042917444,8.994980853722847,0.00021442083788506683
38,0.9999124746008171,8.995964073987755,0.00016083320679304757
39,0.9999298015266695,8.99675151825574,0.00012063546376190706
