cap,U_cap,social_cap,matched_floor,U_floor,social_floor,abs_gap
6,0.32246992822203996,-0.8487731793177296,0.0,0.32246992822203996,-0.8487731793177296,0.0
5,0.2250636152654247,18.455475246888525,0.28,0.22414600862533357,18.65780207042334,0.0009176066400911342
4,0.1358510085489049,36.03782115135277,0.35,0.13625467213179554,35.968680510142,0.00040366358289065096
3,0.06398132037577617,49.914897942304364,0.49,0.06389346262999708,49.947089235990916,8.7857745779088e-05
2,0.017778723553178433,58.269589007785974,0.87,0.01778550148614123,58.27045343755328,6.777932962796773e-06
1,2.779215664823913e-17,60.49821364727718,1.0,0.017606343030748615,58.30206487866595,0.017606343030748588
0,0.0,59.00000000000002,1.0,0.017606343030748615,58.30206487866595,0.017606343030748615
