intent,depth,benefit,attributed_gain,critical_liability,direction,deeper_invades
AS,0,1.5,0.0,,liability_independent,True
AS,1,2.8895349483878547,0.03950000000000003,73.15278350348994,deeper_below,True
AS,2,3.090817543877286,0.07285500000000006,42.424233667933336,deeper_below,True
AS,3,2.8288907132990744,0.058464450000000084,48.386510320358276,deeper_below,True
AS,4,2.4578148506534845,0.01818321750000007,135.16941380993077,deeper_below,True
AS,5,2.1281017484313196,-0.02405513983499996,-88.46765236155291,deeper_above,True
CS,0,2.026121069310804,0.716666666666667,2.8271456781080975,deeper_below,False
CS,1,1.3978358910469666,0.1685000000000001,8.29576196467042,deeper_below,False
CS,2,1.2080027505504205,-0.16162500000000035,-7.474108278734217,deeper_above,True
CS,3,1.2115075397316986,-0.31354515000000016,-3.8639013862332043,deeper_above,True
CS,4,1.2850658042311096,-0.35395540650000035,-3.6305867367252898,deeper_above,True
CS,5,1.3708380051417208,-0.33551027455500027,-4.085830179000968,deeper_above,True
CAS,0,1.5,-2.250000000000001,-0.6666666666666664,deeper_above,True
CAS,1,1.5000000000000036,-1.6875,-0.888888888888891,deeper_above,True
CAS,2,1.500000000000007,-1.2656250000000004,-1.1851851851851904,deeper_above,True
CAS,3,1.500000000000007,-0.9492187500000004,-1.5802469135802537,deeper_above,True
CAS,4,1.5,-0.7119140625000009,-2.10699588477366,deeper_above,True
CAS,5,1.5,-0.5339355468750007,-2.80932784636488,deeper_above,True
AU,0,1.5,-2.250000000000001,-0.6666666666666664,deeper_above,True
AU,1,1.5,-1.6875000000000009,-0.8888888888888884,deeper_above,True
AU,2,1.5,-1.2656250000000004,-1.1851851851851847,deeper_above,True
AU,3,1.5,-0.94921875,-1.5802469135802468,deeper_above,True
AU,4,1.5,-0.7119140625000004,-2.1069958847736614,deeper_above,True
AU,5,1.5,-0.5339355468750002,-2.8093278463648823,deeper_above,True
