cell,erosion,attribution,unsafe_frequency,mean_depth,declaration_gap,social_payoff,intent_AS,intent_CS,intent_CAS,intent_AU
baseline,0.0,1.0,0.0,5.999403483503524,0.0,67.99910522525529,0.49999999999999767,0.5000000000000022,0.0,0.0
drift only,0.2,1.0,0.01755309563656835,1.9900479656208274,0.35840354441905636,58.30206487866595,0.9999375156091035,6.248439089656294e-05,2.2674269570272458e-21,2.3127368134208062e-18
deniability only,0.0,0.75,0.011516222720488188,5.952677117291493,0.0,65.51193922656005,0.008342862403091402,0.9806003144453509,0.010428328133843954,0.0006284950177137223
both,0.2,0.75,0.3224699268821224,5.99999923322388,0.7378559497483709,-0.8487731793177296,0.9999999999999388,5.598010427718052e-14,1.6990258372205607e-16,5.104061517751265e-15
