regime,setting,unsafe_frequency,mean_depth,declaration_gap,social_payoff
geometric,0.75,0.32246992822203996,5.99999923322388,0.7378559497483709,-0.8487731793177296
strict,1.0,0.017606343030748615,1.9900479656208274,0.35840354441905636,58.30206487866595
harmonic,1.0,0.32244560243174564,5.9997494912336355,0.737839581865726,-0.8438804841956382
floored,0.25,0.2317932925831187,5.069071363996723,0.6768452724304271,17.140302397595054
floored,0.5,0.06341519101737107,2.985041548023751,0.4859842479977804,50.04311107085524
super,1.1,0.016333108730328987,1.9177143812633999,0.3467996296321095,58.5326710215464
super,1.25,0.003904894770888413,1.213785017505055,0.233972483988189,60.194895215894995
